student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,course_stream,cgpa,audit_hours,law_score,dropout_status
STU_487591,Lopa Bhandari,omaja82@example.com,+917939792116,Male,22,96.6,1.7,0,Medium,Yes,B.Com,5.98,421,91,0
STU_437346,Lucky Chaudhary,gopal55@example.org,+918406468274,Female,21,92.1,2.2,1,Medium,No,B.Com,5.26,13,81,0
STU_969049,Indali Wagle,sneha23@example.net,+919879418576,Female,21,79.9,1.5,0,Medium,No,CA,6.72,289,74,0
STU_298927,Vansha Contractor,contractortanish@example.com,+916832566454,Male,18,84.2,1.3,0,High,No,CA,6.3,239,75,0
STU_487967,Kavya Chaudhary,cnair@example.com,+918938030945,Male,22,82.1,3.4,0,Medium,No,B.Com,8.72,80,39,1
STU_273395,Sudiksha Krishna,jalsa50@example.com,+918668545771,Male,20,71.6,3.6,0,Medium,No,B.Com,7.84,434,86,0
STU_590737,Veda Doctor,vyanjana98@example.net,+919259468734,Male,18,71.9,1.6,1,Medium,No,CA,7.95,52,68,1
STU_523032,Nisha Deol,harrison90@example.org,+916435741138,Male,19,90.0,4.1,0,Medium,No,CA,6.45,233,49,1
STU_925893,Victor Gupta,harinakshi57@example.com,+916531231744,Female,18,71.7,6.0,0,Low,Yes,CA,8.68,472,76,0
STU_416170,Om Chatterjee,baghyawati25@example.com,+918254614039,Female,19,83.7,4.7,0,Medium,No,CA,4.66,478,36,0
STU_143362,Kalpit Chowdhury,kibeveer@example.com,+917049283238,Female,20,56.4,10.0,1,Medium,Yes,CA,6.83,345,99,1
STU_440610,Isaac Anne,cshroff@example.net,+919837911688,Female,18,91.0,2.6,1,Low,No,CA,8.53,229,88,0
STU_138625,Vaishnavi Sastry,aadi12@example.com,+917898591381,Female,23,74.2,2.4,0,High,No,CA,8.52,294,57,0
STU_980855,Omisha Walla,prashadteerth@example.com,+916478930252,Male,22,91.6,3.4,0,Medium,No,CA,4.67,398,85,0
STU_616270,Yauvani Nagi,ishanimandal@example.org,+917289982566,Male,20,80.3,3.5,0,High,No,CA,9.24,317,61,1
STU_883696,Caleb Comar,gsandhu@example.com,+916797878515,Male,21,81.3,3.4,1,High,No,CA,6.14,344,82,0
STU_975175,Raagini Thakkar,savantkabir@example.com,+919707366533,Male,22,94.4,2.6,1,Low,Yes,B.Com,6.07,201,56,0
STU_569489,Lakshit Balan,lekha26@example.org,+918636161022,Female,22,71.9,4.5,1,Medium,No,CA,10.0,359,38,1
STU_458217,Yauvani Ray,mohammedkale@example.org,+918817672389,Male,22,79.2,9.1,1,High,No,CA,6.08,286,76,0
STU_330637,Urvashi Buch,yash98@example.org,+917206131329,Male,22,92.9,4.1,0,Medium,No,CA,9.58,215,66,0
STU_323996,Eesha Oak,sibalharsh@example.net,+919689751372,Male,19,87.3,5.5,1,Medium,No,B.Com,6.5,39,97,1
STU_378572,Abha Sathe,talwarpushti@example.org,+917140206658,Female,21,93.1,1.0,0,Medium,No,B.Com,8.54,81,99,0
STU_372401,Amara Balasubramanian,patrick05@example.net,+917623820681,Female,21,89.9,6.1,1,Low,No,B.Com,7.41,60,53,1
STU_602464,Zayan Chadha,nadkarniaarini@example.com,+919374879966,Male,19,95.1,4.9,2,Low,No,CA,6.43,490,61,1
STU_333040,Kashvi Bail,upkaarsankaran@example.org,+916283901703,Male,18,79.4,7.0,3,Medium,Yes,B.Com,6.11,253,70,1
STU_805455,Sara Edwin,chakrabartidiya@example.org,+916376097353,Female,22,81.2,6.1,0,Medium,No,B.Com,4.92,417,72,0
STU_914524,Theodore Gokhale,adeep@example.net,+917118358526,Female,23,89.6,3.8,0,Medium,No,B.Com,9.04,4,54,1
STU_144546,Faras Kannan,loyalmegha@example.com,+917694616927,Female,18,80.5,3.0,0,Medium,No,B.Com,5.46,118,91,0
STU_321647,Vinaya Saxena,farisborde@example.com,+917117838819,Male,20,83.8,6.7,1,Medium,Yes,B.Com,7.41,431,54,0
STU_804523,Kamya Trivedi,ayushmanrama@example.com,+918495656944,Male,21,87.9,8.0,1,High,Yes,CA,6.83,112,78,1
STU_751753,Reva Mall,charles96@example.com,+918224074190,Female,22,81.7,0.8,0,Medium,No,CA,8.03,139,43,0
STU_981444,Hemangini Kakar,zaitraapte@example.org,+919714039163,Male,18,67.6,3.2,0,Medium,No,CA,6.5,199,98,0
STU_475912,Utkarsh Brahmbhatt,kalepranav@example.net,+918525302201,Female,23,83.2,2.4,0,Medium,No,CA,8.18,437,82,0
STU_251841,Indrajit Bala,sundaramharrison@example.org,+918093746217,Female,22,91.6,3.8,0,High,Yes,CA,5.65,64,57,0
STU_811709,Kai Pandya,jatin21@example.net,+918229100596,Male,22,87.6,5.0,0,Low,No,CA,5.67,206,99,0
STU_862248,Reyansh Narasimhan,johaldayita@example.net,+917153836358,Female,20,68.7,5.2,0,Medium,No,CA,6.88,116,43,1
STU_751533,Kashish Nadig,golehardik@example.com,+917281805195,Female,21,70.3,3.4,1,Medium,No,B.Com,6.0,286,85,1
STU_648380,Tara Bose,xshankar@example.net,+919548087170,Female,21,63.1,3.9,0,High,No,CA,7.51,251,93,0
STU_286692,George Deshpande,samuel52@example.com,+919704644193,Female,22,85.8,2.0,0,Low,No,CA,6.76,348,41,0
STU_819993,Advik Solanki,qwalia@example.com,+917553560587,Male,21,87.3,11.3,0,Medium,No,B.Com,6.53,211,86,0
STU_766608,Oliver Sachdev,zaid94@example.net,+917169564614,Male,20,79.9,3.2,0,High,Yes,CA,8.44,144,56,0
STU_420108,Gauri Shankar,yadavbaghyawati@example.com,+916911518634,Female,20,89.5,3.1,1,Medium,No,CA,6.75,215,96,1
STU_533505,Oscar Bahri,qupadhyay@example.com,+918674996492,Female,20,92.7,7.9,1,Medium,No,CA,5.33,141,46,1
STU_761316,Jack Thaker,adyaminhas@example.net,+917328890566,Female,19,74.7,3.9,0,Medium,No,B.Com,5.07,161,83,0
STU_163391,Ayushman Goel,sainichatura@example.org,+916015224589,Male,21,69.9,1.9,0,Medium,No,B.Com,6.97,64,31,1
STU_651609,Sarthak Ray,narayaneshana@example.net,+918250684769,Female,18,85.0,4.0,2,Medium,No,CA,8.35,322,64,1
STU_491061,Ojasvi Vig,tanvikhatri@example.org,+918716922865,Male,22,89.4,3.1,0,High,No,B.Com,5.88,417,95,0
STU_305308,Ishaan Golla,shaurya20@example.com,+919945005818,Male,20,64.0,9.8,0,High,No,CA,5.7,436,73,0
STU_654370,Advika Murty,duazaid@example.com,+917640974802,Female,22,86.3,4.3,0,High,No,CA,4.93,395,93,1
STU_736879,Caleb Korpal,abhapadmanabhan@example.com,+919917168390,Male,19,38.6,7.4,0,Medium,Yes,B.Com,7.96,456,48,0
STU_435951,Janaki Pillay,warinderbajwa@example.org,+916906445657,Male,21,89.4,6.5,0,High,No,B.Com,8.97,366,97,1
STU_496524,Edhitha Maharaj,otripathi@example.com,+916877314634,Female,20,95.8,3.0,0,Medium,No,CA,5.85,367,65,1
STU_780087,Peter Sood,ujha@example.org,+918718173443,Female,19,89.4,5.3,0,Medium,No,CA,6.7,362,90,0
STU_512149,Caleb Bobal,kamdardominic@example.org,+916885037639,Female,22,82.9,5.5,1,High,No,CA,5.72,5,91,1
STU_651684,Xiti Lal,deyaarush@example.net,+918525592105,Female,19,69.0,3.3,0,Medium,No,CA,7.9,87,31,1
STU_623082,Upma Jayaraman,jyoti32@example.com,+917810389008,Female,20,79.8,1.4,0,Medium,Yes,CA,8.51,461,50,1
STU_826200,Ria Dar,raaginisood@example.org,+916886767662,Male,20,90.8,7.3,0,Medium,No,B.Com,7.08,132,69,0
STU_275080,Aditya Ranganathan,nidranigam@example.net,+918847819305,Male,18,81.6,1.9,1,Medium,Yes,B.Com,5.75,491,88,0
STU_276842,Priya Badami,oliver18@example.com,+917482053009,Male,21,96.1,5.8,0,Low,No,CA,5.14,86,42,0
STU_805121,Daniel Bhattacharyya,amoldayal@example.org,+916088327266,Male,18,84.1,5.0,0,Medium,No,CA,4.99,187,45,1
STU_182460,Qabil Salvi,bucheshana@example.net,+918098501088,Female,21,82.2,4.1,1,Low,No,B.Com,6.04,345,60,0
STU_675283,Azad Dash,kalaeesha@example.com,+917906086994,Female,21,91.0,3.6,0,Medium,No,B.Com,5.36,491,72,0
STU_437071,Ekalinga Mandal,rbabu@example.net,+917763651903,Male,22,71.9,4.5,0,Medium,No,CA,7.08,77,96,0
STU_527196,Zinal Sama,samakshrege@example.com,+918224424529,Female,21,88.6,1.7,0,Medium,No,CA,6.07,444,40,1
STU_968588,Pratyush Maharaj,isankar@example.net,+919050882796,Female,19,81.9,3.6,0,Medium,No,CA,4.0,210,39,0
STU_896621,Arya Krishnamurthy,wyatt36@example.org,+919267955688,Male,22,69.7,2.7,0,High,No,CA,8.48,11,57,1
STU_326647,Zayan Warrior,saxenaekaraj@example.net,+919836996686,Male,21,87.8,2.3,1,High,No,B.Com,5.81,144,88,0
STU_371088,Harshil Wason,meerahalder@example.net,+916652508754,Male,20,79.9,3.8,0,Medium,No,B.Com,8.29,106,54,1
STU_869366,Patrick Shan,rachanachokshi@example.org,+916487563953,Female,21,78.1,10.6,0,Medium,No,B.Com,5.25,267,78,0
STU_574639,Peter Chakraborty,raghavanyashasvi@example.net,+917151921876,Male,19,85.7,4.9,0,Low,No,CA,8.93,283,94,0
STU_297457,Daksha Subramanian,harishkonda@example.com,+919437754797,Male,21,94.4,5.1,0,Low,No,B.Com,7.08,173,72,0
STU_292303,Teerth Sahota,aryabajwa@example.org,+918129773824,Male,19,82.7,2.5,0,High,No,B.Com,6.51,145,33,0
STU_496205,Vasana Mohanty,davenilima@example.com,+916805063789,Female,20,86.3,2.3,1,Low,No,B.Com,9.84,361,62,0
STU_525941,Vivaan Manda,soodvedhika@example.com,+918036268650,Female,21,83.5,4.1,0,High,No,CA,8.02,152,84,0
STU_355444,Ria Lala,snayak@example.org,+917946511597,Female,23,86.3,3.3,0,Medium,No,CA,7.8,290,95,0
STU_159557,Widisha Vora,dugalmaanav@example.net,+918879500796,Male,23,86.0,5.0,0,Low,No,CA,6.94,479,53,1
STU_557672,Yashawini Garg,vansha07@example.net,+919810753153,Male,18,89.0,3.5,1,High,No,CA,5.95,38,73,1
STU_433951,Ekantika Sood,ocomar@example.org,+917370608207,Female,18,91.8,6.6,0,Medium,No,B.Com,6.66,250,58,0
STU_666787,Nachiket Doctor,ekbalnigam@example.net,+919813698026,Female,18,97.7,4.2,0,Medium,Yes,B.Com,8.48,37,62,0
STU_543876,Vincent Brahmbhatt,lalldarsh@example.org,+919909044378,Male,21,98.7,2.3,0,Medium,No,CA,8.85,227,45,1
STU_184503,Yash Varughese,jagrati94@example.net,+917984945801,Female,18,85.9,4.9,0,Low,No,B.Com,10.0,365,41,0
STU_497497,Samuel Kaur,bakshimanya@example.net,+917665993561,Male,23,65.1,5.2,0,Low,No,B.Com,5.44,391,84,1
STU_696467,Pushti Divan,zinaldave@example.com,+917297431563,Male,20,87.4,2.5,0,High,No,CA,6.76,387,34,0
STU_647828,Wahab Dani,fborah@example.org,+916041909804,Female,19,85.6,1.4,0,Medium,No,CA,5.01,279,96,0
STU_259204,Farhan Dyal,bordesathvik@example.org,+918127216772,Male,19,81.5,4.4,0,Medium,No,CA,7.12,379,93,0
STU_775683,Eesha Palla,lallaayushman@example.com,+916169075704,Female,19,90.4,2.2,2,High,No,CA,8.19,59,74,1
STU_284261,Zinal Sachdev,balayadavi@example.com,+919267752012,Female,19,79.5,9.1,0,Medium,No,CA,4.25,473,96,0
STU_713694,Pushti Jhaveri,mukhopadhyaysanya@example.org,+917795948367,Male,22,72.7,3.7,0,Medium,No,B.Com,8.61,9,73,1
STU_931030,Yug Ahuja,varughesebishakha@example.com,+918719935408,Male,21,89.5,2.1,1,High,No,B.Com,7.34,81,74,1
STU_784984,Ucchal Ramanathan,bhavna52@example.com,+918245744222,Female,18,89.7,1.7,0,Medium,Yes,CA,4.0,77,89,0
STU_448901,Nikita Brar,naksh82@example.net,+918690398307,Male,18,91.8,7.6,0,High,No,B.Com,6.43,175,30,1
STU_299619,Wriddhish Bhatt,yashvisavant@example.org,+916676104817,Female,22,90.8,4.3,1,Medium,No,B.Com,4.0,233,98,1
STU_555560,Yadavi Madan,lavanya85@example.com,+916547165625,Male,19,82.5,1.8,0,Medium,No,CA,5.42,93,88,1
STU_702858,Odika Gopal,ckapadia@example.org,+917375044144,Female,21,92.6,4.1,0,Medium,No,B.Com,7.28,399,89,0
STU_725105,Jason Kaul,shivanimahajan@example.org,+917943222917,Male,20,92.9,3.3,1,Low,No,B.Com,7.13,337,45,0
STU_723525,Kabir Narang,sakshambaria@example.org,+916014950215,Male,23,89.4,4.0,0,Medium,No,CA,6.92,412,90,0
STU_264189,Kiaan Baria,smannan@example.net,+919161030740,Male,22,65.9,2.5,1,Medium,No,B.Com,7.75,45,38,1
STU_990634,Ekalinga Bhardwaj,charleshans@example.com,+919072056173,Female,18,88.5,0.4,0,Medium,No,CA,6.94,340,55,0
STU_714409,Nitesh Balan,tiwarigeetika@example.net,+916223299152,Male,22,60.7,3.8,0,High,No,CA,5.6,62,37,1
STU_423094,Eiravati Ganesh,hritik70@example.com,+916791169631,Female,23,58.0,4.8,1,Medium,No,CA,4.95,290,44,1
STU_463531,Amara Memon,nairmadhavi@example.com,+919533981972,Male,22,88.8,8.6,0,Medium,Yes,B.Com,5.95,372,97,0
STU_507762,Nilima Roy,vganesan@example.net,+919051215058,Male,20,98.4,7.7,0,Medium,No,B.Com,5.43,189,52,0
STU_290294,Lucky Kulkarni,mkarnik@example.org,+916493473629,Female,20,85.1,8.9,0,Medium,No,B.Com,8.74,91,89,0
STU_774586,Shivani Chopra,gangulyadvik@example.org,+916614834768,Female,20,87.0,1.7,0,Medium,No,B.Com,4.84,163,68,1
STU_967981,Divya Srinivas,kiaansharma@example.org,+917922867935,Male,20,88.4,2.3,0,Medium,No,CA,4.5,301,35,0
STU_741407,Baghyawati Yadav,sachdevjason@example.org,+919441383182,Male,22,80.3,6.7,0,High,No,B.Com,4.42,212,98,0
STU_257262,Megha Gade,lbajwa@example.net,+917711163694,Male,19,90.0,6.3,0,Medium,Yes,CA,7.24,56,90,0
STU_775128,Lila Arora,ishanvi19@example.com,+916080345750,Male,19,83.4,8.0,0,High,No,B.Com,8.54,14,62,0
STU_585455,Yachana Rastogi,charvi46@example.org,+918477143276,Male,19,61.6,1.6,0,Low,No,B.Com,6.14,387,35,0
STU_201676,Gunbir Viswanathan,dgandhi@example.net,+918950938825,Female,22,72.9,3.6,0,High,No,CA,7.73,309,67,1
STU_771895,Indali Venkataraman,zpanchal@example.com,+919456142146,Male,21,85.4,3.8,2,High,No,B.Com,8.05,202,49,1
STU_936589,Qabil Chauhan,daksheshchakraborty@example.net,+917449570575,Male,23,92.7,3.6,1,High,No,CA,8.81,351,35,1
STU_198184,Ridhi De,hritikdhaliwal@example.net,+917235078075,Female,22,79.8,6.3,0,High,No,B.Com,6.59,469,52,1
STU_742160,Anirudh Ganesan,garima78@example.org,+917929612661,Female,19,96.2,6.4,0,Medium,Yes,CA,8.16,297,85,0
STU_964332,Upadhriti Dhillon,cpatla@example.com,+917461398392,Male,18,65.8,2.3,0,Low,No,B.Com,8.63,259,66,1
STU_401331,Nimrat Agrawal,bachittarrai@example.org,+917306034387,Female,20,72.6,3.7,0,Medium,Yes,B.Com,8.4,44,73,1
STU_486073,Mitali Buch,patiltheodore@example.net,+917220002188,Male,20,88.9,7.6,0,Medium,No,B.Com,6.35,115,89,0
STU_377891,Daniel Tara,teerth73@example.net,+917318674974,Male,23,87.0,2.4,1,High,Yes,B.Com,8.39,141,90,1
STU_600524,Lakshit Chhabra,niharikanath@example.org,+919344381118,Male,22,87.3,2.9,1,Low,No,CA,9.75,455,52,1
STU_400821,Mahika Nagar,vanshasura@example.com,+916281173395,Female,19,92.6,6.7,0,High,No,CA,6.66,2,60,0
STU_122509,Janani Kohli,skuruvilla@example.com,+918862644732,Male,19,54.9,5.2,0,Medium,No,CA,8.08,462,34,1
STU_502644,Udant Dhar,lsur@example.org,+917214842329,Female,18,80.0,1.1,1,High,No,B.Com,8.47,108,95,0
