student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,department,cgpa,project_score,coding_skills,dropout_status
STU_711985,Rudra Ganesh,ebajaj@example.org,+917290496599,Male,21,78.5,1.9,0,High,No,CS,6.63,67,4,0
STU_874372,Pushti Shetty,varkeyharish@example.org,+916451162366,Female,23,68.1,6.2,0,High,No,ME,5.82,95,8,0
STU_983121,Abeer Parikh,jananilad@example.org,+918660002668,Female,23,83.8,1.7,0,High,Yes,ME,6.93,88,9,0
STU_330910,Naveen Bhatnagar,waliluke@example.org,+917117716426,Male,21,88.7,3.2,1,High,No,EC,7.18,51,1,1
STU_975745,Naksh Tailor,deolchaitaly@example.org,+918929310702,Female,23,85.1,3.6,0,Medium,Yes,EC,6.68,20,8,0
STU_262527,Upkaar Sarma,kapurrudra@example.org,+918930120620,Female,18,95.8,0.8,0,Medium,No,CS,7.5,99,4,0
STU_433510,Yachana Sehgal,harish09@example.net,+917711260713,Male,19,89.8,1.5,0,Medium,No,ME,6.99,26,9,0
STU_495421,Banjeet Misra,deviranbir@example.com,+918841019182,Male,21,67.2,1.4,0,High,Yes,EC,7.85,90,9,0
STU_329766,Triveni Pal,rgarg@example.com,+919070176367,Male,19,53.1,5.6,0,Medium,No,CS,6.44,53,4,0
STU_862035,Hema Cherian,csood@example.org,+916738678733,Male,22,74.6,5.2,0,Medium,No,EC,6.39,99,6,0
STU_706492,Naveen Babu,jsha@example.org,+918993404736,Female,22,53.7,4.0,0,Low,No,CS,5.35,38,4,1
STU_613191,Azaan Kant,pallavi99@example.org,+919102295671,Female,23,84.6,5.6,0,Low,No,EC,6.5,34,1,0
STU_376804,Pooja Chopra,ucchallal@example.com,+919825733389,Female,22,92.1,2.2,0,Low,Yes,CS,8.22,94,7,0
STU_216814,Ekta Tripathi,luckychokshi@example.net,+919750058963,Female,22,95.9,3.6,0,Medium,No,ME,7.63,65,6,0
STU_777389,Abdul Chana,chandanigade@example.com,+918779637523,Female,18,90.5,2.5,1,Medium,No,CS,6.93,79,1,1
STU_231218,Aarnav Parekh,msanghvi@example.net,+919918449661,Female,19,78.8,3.9,0,Low,No,EC,7.97,39,1,0
STU_509113,Wyatt Seth,amaira90@example.net,+916473381990,Female,22,88.9,12.3,0,High,No,EC,7.52,76,8,0
STU_295857,Zarna Iyer,zandra@example.org,+919682904444,Male,20,66.1,3.3,0,Medium,No,ME,6.16,73,8,0
STU_273642,Aarav Barad,danichavvi@example.org,+917351274182,Female,18,95.1,3.4,0,High,No,CS,7.81,85,5,0
STU_522366,Zayan Pathak,rajagopalryan@example.org,+916590025513,Male,23,92.3,1.6,0,Low,No,EC,6.34,33,4,0
STU_708744,Ijaya Dhillon,haritaraval@example.com,+917753773658,Female,21,74.0,3.9,0,Low,No,CS,7.37,97,9,0
STU_285731,Thomas Iyer,harshil41@example.net,+918565068038,Female,23,91.9,0.9,0,High,No,CS,6.84,30,5,0
STU_893785,Edhitha Kaul,masterbenjamin@example.com,+916215527711,Female,23,66.0,7.9,1,Medium,No,ME,7.98,86,7,0
STU_925946,Vrishti Korpal,balveer87@example.com,+919460640922,Male,18,90.6,8.8,1,Medium,No,CS,5.83,88,4,0
STU_169444,Siddharth Jhaveri,saibalay@example.com,+918245075889,Female,21,77.6,2.0,0,High,No,CS,8.2,22,8,0
STU_818880,Siddharth Oommen,niharika40@example.org,+916759335623,Male,20,93.1,2.4,1,Medium,No,EC,7.11,73,4,1
STU_223463,Ijaya Misra,duafariq@example.com,+916831098260,Female,19,80.9,6.4,0,Medium,Yes,EC,6.85,59,5,0
STU_381342,Samaksh Luthra,labanbanerjee@example.net,+919634999204,Female,23,96.8,1.0,1,Low,No,EC,6.56,23,5,0
STU_767736,Samar Munshi,sunderbishakha@example.org,+916498564172,Male,23,63.5,5.6,0,Medium,No,CS,5.97,79,7,0
STU_499881,Sanaya Biswas,rayaanbal@example.org,+917296506253,Female,23,88.6,5.3,0,High,No,CS,7.09,97,8,0
STU_771763,Odika Mitra,aarushpillay@example.net,+916322211672,Female,23,75.6,11.6,0,High,No,EC,5.13,35,5,0
STU_244340,Vasana Thakkar,dugarrushil@example.net,+916873327022,Female,22,81.5,1.2,0,Medium,No,EC,7.39,34,1,1
STU_712410,Nimrat Nigam,sureshamruta@example.net,+918848839557,Female,20,90.0,8.4,0,High,No,ME,7.28,94,9,0
