student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,specialization,cgpa,internship_score,case_studies,dropout_status
STU_487878,Hardik Narula,wriddhishkhanna@example.com,+919809288577,Male,20,93.0,2.1,0,Medium,No,Marketing,8.54,9,22,0
STU_461607,Meera Palla,theodore93@example.org,+916584701915,Male,23,93.3,3.4,1,High,No,Marketing,5.58,2,7,1
STU_879089,Rachit Iyengar,indrajit17@example.org,+916243260528,Female,19,81.7,3.2,1,High,No,Marketing,9.24,3,19,0
STU_430922,Xavier Srinivasan,trattan@example.net,+916727317161,Male,20,76.2,2.3,0,Low,No,Marketing,7.05,6,18,1
STU_455580,Ekaja Kala,goyalchakradev@example.net,+917966840774,Female,21,98.3,9.0,1,High,No,HR,7.93,5,44,0
STU_309555,Jackson Mander,duttumang@example.org,+916817637502,Male,22,88.9,4.9,0,Low,No,Marketing,6.2,3,19,0
STU_733464,Darika Desai,varghesenidhi@example.com,+918434600943,Male,22,92.7,4.3,0,Medium,No,HR,6.22,8,8,0
STU_400340,Ubika Contractor,mohammedaggarwal@example.net,+918177817108,Female,21,78.3,4.1,0,Medium,No,Marketing,7.5,5,17,0
STU_799845,Chaman Tiwari,duttachakradhar@example.com,+917533659433,Male,18,87.4,13.4,0,Low,No,HR,7.38,8,29,0
STU_905190,Edhitha Tailor,anshnanda@example.org,+916564449701,Female,23,72.6,5.2,0,High,No,HR,7.18,9,12,0
STU_491732,Zaid Narula,daraindrajit@example.net,+918716802072,Male,21,70.7,4.7,0,Medium,Yes,HR,8.15,1,35,0
STU_654922,Rayaan Mukhopadhyay,christopher37@example.org,+919880762084,Female,22,83.5,5.9,0,Medium,No,HR,7.47,1,41,0
STU_546290,Ekantika Ramesh,ishwar10@example.com,+916767291532,Male,19,92.1,4.2,1,High,No,Marketing,6.36,5,13,0
STU_625437,Janani Lal,cnagy@example.com,+918402813754,Female,18,88.0,5.3,0,High,Yes,Marketing,6.93,5,19,1
STU_695763,Raagini Garg,chakrikabath@example.com,+919432370449,Male,23,90.0,4.9,0,Medium,No,Marketing,5.9,1,38,0
STU_510572,Nirja Pant,fdutt@example.net,+918261263893,Female,18,92.5,9.2,0,Medium,Yes,HR,8.74,8,40,0
STU_830472,Ayushman Gole,fpau@example.net,+917597930935,Male,19,83.5,2.5,0,Medium,No,Marketing,6.57,8,26,0
STU_740068,Rushil Wagle,jagrativenkataraman@example.net,+917847491909,Female,23,87.7,7.9,0,Medium,No,Marketing,7.5,8,26,1
STU_725166,Tanveer Wali,teerth05@example.com,+916743497459,Male,23,81.2,2.8,1,Medium,No,HR,7.62,8,47,0
STU_743338,Aadhya Dass,sampathmekhala@example.net,+919806786435,Male,22,94.9,5.6,1,Low,Yes,Marketing,7.76,6,26,1
STU_136284,Aryan Ray,pillaiadvik@example.net,+917575302839,Female,20,73.4,2.3,0,Medium,No,HR,7.88,6,37,0
STU_119995,Devansh Natarajan,paishaurya@example.com,+919391753846,Male,23,83.7,5.5,0,Medium,No,HR,5.13,9,23,1
STU_532675,Watika Vala,enayak@example.org,+916292302718,Male,21,86.7,3.0,0,Low,No,Marketing,6.92,3,13,0
STU_296179,Elijah Ganesan,ndhar@example.net,+918329537178,Male,23,80.1,4.0,1,Medium,Yes,HR,5.0,4,9,1
STU_526076,Karan Ramaswamy,mukherjeepranav@example.com,+916940288823,Female,19,86.7,5.6,0,Low,No,HR,9.67,6,6,0
STU_969683,Jeremiah Shankar,gulatisathvik@example.org,+916206703113,Male,20,95.6,6.7,0,Low,No,HR,7.52,7,33,0
STU_453667,Xiti Mishra,rajeshribiswas@example.net,+919870188125,Male,23,90.8,4.4,0,Low,No,HR,6.29,2,23,0
STU_924519,Tejas Agate,ikbal43@example.com,+917285111867,Female,19,99.4,8.8,1,Low,No,Marketing,6.03,6,43,1
STU_328779,William Bali,mmall@example.org,+918112855343,Female,19,94.7,5.8,0,Medium,No,HR,6.73,6,19,0
STU_944703,Hamsini Rastogi,randhawakabir@example.org,+919522411840,Male,22,77.1,7.4,0,Low,No,HR,6.27,4,22,0
STU_438432,Triya Johal,gauravvohra@example.org,+917327139042,Female,19,77.8,2.9,0,Low,No,Marketing,7.86,6,9,0
STU_302952,Faqid Subramanian,chatresh08@example.com,+917953237602,Male,23,86.2,5.1,0,Medium,No,Marketing,5.32,1,44,1
STU_296032,Anvi Din,virajkanda@example.org,+918642711581,Male,19,72.9,3.1,1,Medium,No,Marketing,7.22,3,46,0
STU_159334,Vaishnavi Mani,dghose@example.org,+917765866894,Female,23,92.1,1.7,1,Medium,No,Marketing,8.0,4,11,0
STU_316801,Nidhi Dugar,jyotipalan@example.org,+918575004104,Male,19,86.4,1.8,2,Medium,No,Marketing,7.85,4,30,1
STU_648035,Samarth Chanda,adweta72@example.com,+916579436667,Male,23,75.0,7.8,1,Medium,No,Marketing,9.1,9,46,0
