student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,specialization,cgpa,clinical_score,hospital_hours,dropout_status
STU_379413,Ayaan Ramanathan,pdeshpande@example.com,+916963174455,Female,19,80.3,6.0,1,High,Yes,Dental,9.54,40,35,0
STU_292728,Sarthak Bera,lila48@example.org,+919636297826,Female,22,90.7,6.3,0,Medium,No,Dental,7.65,30,30,0
STU_608609,Chatresh Raman,ttalwar@example.net,+918718680947,Male,18,87.5,1.3,0,Medium,No,General,6.79,73,42,0
STU_686276,Ikbal Vala,eeshakanda@example.net,+917512350298,Male,23,67.2,2.8,0,Medium,No,General,9.13,91,11,0
STU_134923,Yachana Doctor,divyabedi@example.com,+917191531049,Female,21,72.4,3.5,0,High,No,General,7.67,84,6,0
STU_773890,Qasim Sami,sahniudant@example.net,+917331220415,Female,20,98.9,4.7,0,Medium,No,General,6.67,51,21,0
STU_749076,Wishi Sahota,aarnakapoor@example.com,+918235517846,Female,20,87.2,1.8,0,Medium,No,General,6.43,87,12,1
STU_387050,Madhav Palan,hemani19@example.net,+918528436142,Female,22,91.8,4.0,1,High,No,Dental,7.24,67,7,0
STU_446661,Vyanjana Rout,jack99@example.com,+917621818330,Female,19,90.1,3.5,0,Low,Yes,Dental,8.76,88,46,0
STU_207719,Janaki Bhat,brinda84@example.net,+916808355025,Female,23,69.2,4.4,1,Low,No,Dental,5.89,66,43,0
STU_963399,Chanchal Basu,abdul13@example.com,+919139307581,Female,22,78.5,9.0,0,Medium,No,General,7.78,53,37,0
STU_378724,Radha Modi,ethan29@example.org,+917683099202,Female,22,64.8,1.0,1,High,No,Dental,7.47,33,29,1
STU_955966,Bhavya Rege,bhavika09@example.com,+918247065684,Male,20,84.6,3.4,0,Low,No,General,6.99,67,40,0
STU_107097,Shivansh Bhakta,usarin@example.net,+918717536301,Male,20,84.0,3.1,0,Medium,Yes,Dental,7.94,61,30,0
STU_767150,Kamya Divan,ypalla@example.net,+916246045538,Female,20,92.9,5.6,1,Medium,No,Dental,7.87,40,10,1
STU_534696,Janani Manda,banjeetsabharwal@example.org,+918369986038,Male,22,94.5,1.7,0,Low,No,Dental,7.82,53,34,0
STU_466999,Mohammed Kota,yupadhyay@example.org,+918885200841,Male,20,82.9,5.7,0,High,No,General,8.09,78,16,1
STU_199364,Sanya Gokhale,victor93@example.org,+919437869819,Female,20,90.8,3.9,1,Medium,No,General,7.36,52,31,0
STU_397695,George Chand,devaneshana@example.org,+918578671456,Male,18,89.8,3.7,0,Medium,No,General,9.4,43,3,0
STU_690504,Theodore Sastry,ybalakrishnan@example.com,+919550325950,Male,18,87.8,5.5,0,High,No,General,8.65,77,46,0
STU_694106,Kamala Bhatnagar,sacharoliver@example.net,+917393984293,Female,23,73.8,2.4,0,Medium,No,General,6.16,61,10,1
STU_963236,Forum Wali,garimabir@example.net,+919332374389,Male,18,96.4,5.6,0,High,No,Dental,8.49,76,14,0
STU_735157,Gayathri Babu,advaith76@example.com,+917991907627,Female,21,85.1,1.8,0,High,No,General,6.24,36,46,0
STU_730716,Falan Mandal,muttiekta@example.net,+917224458604,Female,19,96.1,3.9,1,High,No,General,7.26,95,16,0
STU_404293,Ekantika Dash,geetika50@example.net,+917795824418,Female,21,84.3,7.3,0,Low,No,Dental,7.52,76,45,0
STU_122951,Anirudh Sant,wridesh77@example.com,+919467398790,Male,20,93.2,8.5,0,Medium,Yes,Dental,8.12,39,16,1
STU_927604,Frederick Vaidya,dde@example.net,+917629250560,Male,21,68.0,3.8,1,Medium,No,Dental,6.42,96,2,0
STU_475812,Tristan Chawla,sarmagirindra@example.net,+919782063952,Male,19,89.3,6.6,0,Medium,No,Dental,7.08,32,16,1
STU_327050,Yamini Jha,smutti@example.com,+918126005677,Female,23,77.7,4.4,0,High,No,General,6.03,94,13,0
STU_380969,Inaya Behl,jayaramanfaris@example.net,+919087550648,Female,20,75.8,4.5,0,Medium,Yes,Dental,7.73,81,44,1
STU_683828,Kavya Gandhi,ayushmanbains@example.net,+916999148263,Male,22,71.0,2.7,0,Medium,No,Dental,7.56,33,0,1
STU_624612,Harini Chopra,hemani76@example.com,+916049720694,Female,20,91.4,0.4,0,High,No,General,7.17,51,43,0
STU_427715,Dev Mander,dswamy@example.net,+917924757954,Female,22,93.2,1.4,0,High,No,Dental,7.64,32,12,1
STU_269284,Ucchal Mammen,ikshitaraja@example.net,+918964636252,Male,19,64.0,6.5,0,High,No,General,8.62,49,11,0
STU_491088,Yashica Sankaran,vborah@example.com,+917716052213,Female,23,79.2,5.6,0,High,No,Dental,6.01,54,41,0
STU_990478,Aachal Bumb,erajan@example.org,+917464698976,Female,19,93.7,2.3,0,High,No,Dental,9.35,32,6,0
STU_366803,Dev Hegde,agateyug@example.net,+917629747473,Female,19,86.7,1.8,3,Medium,Yes,Dental,9.23,76,33,1
STU_566524,Samuel Bajaj,wnarayanan@example.net,+919170358400,Male,22,85.5,4.2,0,Low,No,Dental,6.76,86,10,0
STU_400213,Devansh Rastogi,hardik69@example.com,+917453035569,Male,21,90.8,2.8,0,Medium,Yes,General,7.18,37,45,1
STU_258607,Jagvi Chaudry,echowdhury@example.org,+916354920957,Female,22,83.2,7.7,0,High,No,Dental,6.97,68,43,1
STU_614850,Divya Borde,hchandran@example.com,+916613299234,Male,21,82.8,1.6,0,Medium,No,General,6.63,76,9,0
STU_605651,Harita Hayre,santria@example.org,+916323317050,Male,20,77.5,3.1,0,Medium,No,General,7.35,64,33,0
STU_436705,Saanvi Sankaran,chakradevwable@example.com,+919846759266,Male,18,70.8,2.7,0,Medium,No,Dental,7.94,81,18,0
STU_183475,Rajata Chad,bordegirik@example.org,+918307350485,Male,22,74.0,3.9,1,Low,No,General,6.91,97,32,0
STU_622643,Raghav Palla,ekansh85@example.net,+916733288725,Female,22,88.1,5.6,0,Low,No,General,8.07,97,48,0
STU_506887,Ojasvi Shanker,eram@example.com,+919458777549,Male,23,87.9,1.9,0,Medium,No,Dental,7.23,93,44,0
STU_900539,Radhika Hari,ishapalan@example.com,+918567185587,Female,18,87.9,6.4,1,Medium,No,General,8.29,39,27,1
STU_225715,Yashvi Sura,boasemohammed@example.org,+919019394135,Male,21,68.0,5.6,0,High,No,Dental,6.39,98,9,0
STU_744694,Kalpit Sengupta,chanddayamai@example.net,+917613301820,Male,22,74.4,2.8,0,Medium,No,General,8.08,83,46,1
STU_118259,Gayathri Pradhan,matthew62@example.net,+918338768778,Female,20,88.0,5.0,1,High,Yes,Dental,8.01,56,9,1
STU_684368,Triya Bahl,rehaan82@example.com,+918703012544,Male,19,89.7,6.0,0,High,No,General,8.17,39,7,1
STU_640497,Manan Narang,darika02@example.org,+919542402795,Female,19,95.0,4.7,1,Medium,No,General,6.09,44,22,1
STU_251296,Abeer Mitter,ybaria@example.net,+919884209516,Male,18,95.3,9.9,1,Medium,No,General,8.06,96,39,0
STU_859817,Vihaan Bhat,qpant@example.net,+918367263759,Male,21,87.7,0.3,3,Low,Yes,General,6.97,30,5,1
STU_641416,Yahvi Narula,jpalla@example.org,+918572930369,Male,18,89.4,1.7,0,Medium,No,General,8.31,41,33,0
STU_408412,Indrajit Patel,bsen@example.net,+916764462036,Female,23,96.0,1.5,1,Medium,No,General,7.84,84,32,0
STU_766667,Tripti Raju,triya49@example.com,+919894613758,Male,22,73.0,8.5,0,High,Yes,Dental,6.69,44,18,1
STU_803375,Neha Patil,bakhshipingle@example.com,+916964200238,Female,22,65.6,4.1,2,Low,No,General,8.19,76,32,1
STU_695078,Faris Chauhan,urvashiraval@example.org,+916653952083,Female,21,91.9,2.5,1,High,No,Dental,5.93,68,7,1
STU_175151,Lakshit Balasubramanian,lbali@example.org,+917683198941,Male,19,71.9,5.1,1,Medium,No,General,7.33,56,25,1
STU_142389,Upadhriti Mani,ppatla@example.com,+916622681660,Male,22,93.0,5.9,0,High,No,General,7.79,94,44,0
STU_219446,Dayamai Singhal,netra34@example.org,+917990043222,Male,19,68.6,2.2,0,High,No,Dental,7.34,95,29,0
STU_879702,Abdul Dani,saanvi98@example.org,+919408583335,Female,21,73.3,8.4,0,Low,No,Dental,6.6,56,9,0
STU_169605,Harita Dhillon,traj@example.org,+917096592330,Male,23,83.2,2.1,0,Medium,No,General,6.57,42,47,1
STU_220551,Ronith Ratti,kabir80@example.org,+918008542049,Female,21,98.1,2.8,0,Medium,No,Dental,6.27,77,33,0
STU_370765,Rohan Parekh,kalafiyaz@example.net,+917436063177,Female,23,86.9,1.9,1,High,No,General,7.16,89,45,1
STU_332426,Jagdish Sachdev,ahalder@example.net,+916175750207,Female,19,86.5,5.7,0,Medium,No,Dental,7.7,92,1,0
STU_366993,Vedant Jani,ihalder@example.org,+916024596580,Male,22,71.2,2.0,0,Medium,No,General,5.96,36,12,1
STU_313120,Chakradhar Prasad,lpillai@example.net,+919444239157,Female,20,86.0,1.8,0,Low,No,General,6.97,81,34,1
STU_605486,Leela Suri,agastya32@example.net,+916634332481,Male,22,85.6,4.9,1,Low,No,Dental,6.34,71,38,1
STU_934502,Ati Bansal,wriddhishkapoor@example.com,+919338902939,Male,22,67.1,5.1,1,Low,No,General,5.0,97,16,0
STU_454127,Matthew Kapadia,harini19@example.org,+918615377655,Male,22,92.0,3.2,1,Medium,No,General,6.39,57,27,0
STU_475260,Teerth Samra,dalaljeevika@example.org,+918164180377,Female,22,79.8,9.8,1,Medium,No,General,8.55,74,45,0
STU_742112,Aarav Majumdar,mahika86@example.org,+916265068148,Male,23,97.6,1.0,0,High,No,General,8.21,61,22,0
STU_350810,Forum Desai,advikbassi@example.org,+918602017397,Male,21,88.6,3.2,0,Medium,No,Dental,6.49,81,22,0
STU_291732,Chasmum Dayal,pavani92@example.org,+919182007852,Female,18,98.5,2.4,1,High,No,General,5.27,73,14,1
STU_299423,Faris Khurana,meghanalata@example.org,+918859905818,Female,22,93.9,4.7,0,High,Yes,General,5.0,70,7,0
STU_821706,Samarth Narayanan,ksur@example.org,+918273064214,Male,20,89.0,1.3,0,Medium,No,General,7.95,35,28,0
STU_580796,Baghyawati Deol,kothariavi@example.net,+918014980051,Female,18,39.4,2.7,0,Low,Yes,Dental,8.07,64,14,1
STU_551013,Nandini Nadkarni,anvibala@example.com,+917818093930,Male,21,71.3,8.3,0,Medium,No,General,7.77,75,14,0
STU_801541,Joshua Bose,nishawali@example.org,+917763348538,Male,21,76.1,3.1,1,Medium,No,General,7.65,38,32,1
STU_327777,Indali Dani,ekta56@example.com,+919634636299,Female,23,88.6,1.2,0,High,No,General,7.31,33,5,1
STU_644272,Noah Kohli,nkulkarni@example.net,+919308366324,Female,22,82.6,5.7,0,High,Yes,General,8.05,43,23,0
STU_264736,Harrison Padmanabhan,swaminathanishwar@example.com,+917431495553,Female,20,75.3,1.6,1,Medium,No,Dental,7.2,78,23,1
STU_505043,Gaurika Andra,swaminathangabriel@example.net,+916948334954,Female,19,77.3,3.7,0,Low,No,General,6.75,81,29,0
STU_590213,Chaaya Patla,masterrachita@example.com,+917131639809,Female,23,89.3,1.3,0,High,Yes,Dental,6.85,42,33,1
STU_932926,Sai Thaker,sdoctor@example.com,+916805477066,Female,18,97.7,4.0,0,Low,Yes,General,7.5,73,3,0
STU_469364,Gagan Keer,hamsini15@example.com,+919960403746,Female,22,89.7,5.4,0,Medium,No,Dental,7.47,56,36,0
STU_342606,Jeet Vaidya,aarushsahni@example.net,+916482711543,Female,22,88.5,2.7,0,Low,No,Dental,8.33,58,46,0
STU_908553,Theodore Ramanathan,vansha16@example.net,+917969291135,Male,23,82.7,3.2,1,Low,No,Dental,8.06,57,2,0
STU_687259,Indira Tata,bhanumatichad@example.com,+918272352661,Male,19,80.4,1.8,1,Medium,Yes,General,7.03,36,20,0
STU_341596,Rishi Dhar,riaguha@example.net,+916330935263,Male,22,91.2,2.3,0,Medium,No,General,8.98,52,22,1
STU_797965,Utkarsh Chacko,anmolgoyal@example.org,+917969279689,Male,19,90.6,2.4,1,Low,Yes,Dental,7.22,67,36,1
STU_137761,Guneet Sahota,chandresh66@example.com,+916254564040,Male,22,91.6,8.6,0,High,No,Dental,6.05,72,31,0
STU_826901,Kashvi Sama,qmaharaj@example.com,+919712523085,Female,19,93.0,1.8,1,High,No,Dental,7.73,69,7,1
STU_303988,Hemani Master,talwarmekhala@example.org,+917781016858,Male,22,88.4,2.3,0,High,No,Dental,7.15,30,0,0
STU_988496,Praneel Patel,nnagy@example.net,+917831253617,Male,22,91.7,5.6,0,Low,No,General,7.23,49,10,1
STU_210055,Hitesh Dora,ayush34@example.net,+916080834866,Female,21,81.1,8.6,1,Low,No,General,6.65,35,30,0
STU_138064,Krishna Choudhry,jhalakpalla@example.net,+917165720736,Male,23,85.1,5.4,1,Low,Yes,Dental,6.63,61,40,1
STU_898238,Yagnesh Gole,nihalmagar@example.net,+918397255023,Female,22,50.1,3.0,1,Low,No,Dental,8.26,80,37,0
