student_id,name,email,phone_number,gender,age,attendance_rate,study_hours_per_day,past_failures,family_income,scholarship,class_level,cgpa,homework_rate,parent_meetings,dropout_status
STU_795904,Sanaya Sankar,hegdeviraj@example.org,+919542927616,Male,18,91.7,7.5,2,High,No,12th,7.12,79,0,1
STU_735161,Yagnesh Garg,chaaya17@example.org,+916688860332,Male,23,82.9,5.8,1,Medium,No,10th,6.08,39,0,0
STU_501880,Jatin Rajan,hmenon@example.org,+918658980813,Male,18,65.6,5.1,0,High,Yes,12th,7.66,58,4,1
STU_336165,Gavin Ramakrishnan,mohanchristopher@example.net,+917372918314,Male,18,84.3,4.1,0,Low,No,10th,9.11,48,4,0
STU_378609,Ethan Parikh,nram@example.org,+919700246789,Male,19,79.6,8.2,0,High,Yes,12th,8.53,44,1,1
STU_829659,Onveer Choudhry,snehakari@example.net,+917077156062,Male,19,71.7,3.4,0,Low,No,12th,9.71,40,4,0
STU_276280,Odika Chokshi,gkala@example.net,+919586893294,Female,19,89.3,0.7,0,Medium,No,12th,9.31,92,1,0
STU_696771,Riya Pingle,bdua@example.net,+916973893376,Male,20,91.3,5.0,0,Medium,No,12th,8.39,91,2,0
STU_406280,Peter Chandra,khalsaudyati@example.com,+918943224325,Male,19,81.5,2.7,0,Low,Yes,12th,8.49,73,3,0
STU_515323,Chandani Wadhwa,gagan79@example.net,+918585469964,Female,23,97.1,8.7,0,Medium,No,10th,7.94,49,0,0
STU_882180,Udyati Bath,guneet34@example.org,+917163978592,Male,22,86.9,2.2,0,High,No,10th,8.14,21,3,1
STU_992793,Niharika Sem,isha18@example.org,+916560890270,Male,22,80.1,3.1,0,Low,No,12th,10.0,79,2,0
STU_760314,Bhavini Prabhu,dakshahalder@example.com,+916318943309,Male,20,95.9,3.1,2,High,No,10th,8.14,65,4,1
STU_990338,Kashish Sibal,gokhaleraghav@example.org,+916823358844,Female,21,78.5,3.3,0,Medium,No,10th,5.51,53,3,1
STU_159157,Divya Dutt,gopaladitya@example.org,+918043095367,Male,18,64.7,2.1,1,High,No,10th,6.26,36,1,1
STU_832423,Mitali Mohan,warinderagarwal@example.com,+916005445974,Male,23,88.8,2.4,0,Medium,No,12th,8.01,72,0,0
STU_278817,Ati More,forum63@example.com,+919522688681,Female,21,88.9,3.5,1,High,Yes,10th,10.0,87,1,0
STU_132905,Advay Majumdar,ymaster@example.org,+917665117247,Male,22,96.8,1.2,0,Medium,No,10th,8.06,63,3,0
STU_508008,Devika Chaudry,sarthak45@example.org,+919322919771,Female,18,85.3,4.2,0,Low,No,12th,7.15,93,3,0
STU_535249,Tripti Nayak,wakeetasinghal@example.org,+916201090718,Male,18,71.5,2.1,0,High,No,12th,6.01,94,1,0
STU_219877,Vrinda Raval,nbaral@example.org,+918606491832,Male,18,94.9,2.4,0,High,No,12th,6.04,74,2,1
STU_527870,Darika Chanda,chokshiaadhya@example.net,+916377749298,Male,23,89.3,6.1,0,Medium,No,12th,8.46,71,4,0
STU_273305,Bhanumati Joshi,ekantikatak@example.org,+916829041856,Male,20,71.7,5.9,0,Low,No,12th,7.66,23,1,1
STU_248793,Krishna Rajagopal,rachit08@example.net,+918165205868,Male,23,93.8,5.7,1,Medium,No,12th,7.45,25,4,0
STU_576297,Ojasvi Gour,tchahal@example.net,+917967044388,Female,21,83.8,3.3,0,High,No,12th,10.0,50,2,1
STU_123252,Oeshi Salvi,janaki02@example.org,+918276819312,Male,20,89.7,3.0,0,Medium,No,12th,8.23,73,4,1
STU_296334,Maanas Bandi,daniel23@example.org,+917791467369,Female,21,72.0,3.3,0,Low,No,12th,4.74,34,0,1
STU_633104,Upasna Sant,michaelkala@example.net,+916810963425,Female,18,91.7,1.9,0,Low,No,12th,7.11,92,2,0
STU_268466,Vivaan Vaidya,joshua18@example.com,+917968796432,Female,23,93.5,1.9,1,Medium,No,10th,7.51,43,4,1
STU_822495,Amaira Madan,ayaan26@example.com,+919877432037,Male,18,89.6,2.3,0,Low,No,12th,4.92,22,4,1
STU_685568,Xiti Anand,dmall@example.net,+917493786473,Female,22,90.4,2.2,0,Medium,No,10th,6.97,78,0,0
STU_693994,Shivani Balan,osachdeva@example.com,+919532457648,Male,19,96.9,4.6,1,Medium,No,10th,7.1,74,2,1
STU_587634,Isaiah Hayre,ukapadia@example.com,+917182702953,Male,18,84.0,5.5,0,Low,No,10th,6.59,68,3,1
STU_752093,Amaira Dhingra,chaudryaishani@example.net,+917665656236,Female,22,81.4,7.5,1,Medium,No,10th,7.6,64,0,1
STU_221779,Rehaan Kalita,charan57@example.com,+919714112687,Female,21,83.3,9.3,0,Medium,No,12th,5.44,49,4,0
STU_777893,Rajata Barad,zaitra38@example.com,+919215781910,Male,19,80.4,4.0,0,Medium,Yes,12th,7.64,43,0,1
STU_828921,Saksham Jayaraman,kashyapzansi@example.com,+917938173928,Female,19,62.9,5.2,1,High,No,10th,8.07,77,2,0
STU_628370,Yamini Balasubramanian,mvenkatesh@example.net,+918717709789,Male,20,88.2,3.8,0,High,No,12th,8.62,41,4,1
STU_743212,Nachiket Oak,yastisibal@example.org,+916592890425,Male,23,94.6,4.3,0,Medium,No,12th,7.44,88,1,0
STU_351756,Maanas Parikh,dakshboase@example.net,+918124178168,Female,23,86.4,2.7,2,High,No,10th,7.41,62,4,1
STU_874972,Jackson Bajaj,masongulati@example.org,+919543928688,Female,18,85.5,3.0,2,High,No,10th,9.1,26,1,1
STU_882922,Vincent Dutt,hgoda@example.net,+919727964104,Male,21,90.1,5.7,1,Low,Yes,10th,6.8,92,1,0
STU_511985,Chakrika Divan,bthaker@example.org,+917976285291,Male,21,91.1,4.6,0,Medium,No,10th,9.18,54,2,0
STU_907903,Tanveer Ram,falguni18@example.com,+918566138340,Female,23,66.3,4.3,0,Medium,No,10th,6.51,25,3,0
STU_675208,Xalak Kapur,harrisonwable@example.com,+919501995614,Male,23,95.2,2.5,0,Medium,Yes,10th,8.56,91,4,0
STU_744364,Jagdish Ganesh,zaitra04@example.com,+916227283109,Male,18,90.8,1.7,0,Medium,No,12th,9.99,59,0,0
STU_491207,Mitesh Hans,ishanibrahmbhatt@example.org,+917669832850,Male,18,94.4,12.8,0,Medium,No,12th,6.41,42,3,0
STU_878693,Reyansh Parmar,rrana@example.com,+919346710449,Male,20,89.7,4.8,0,Medium,No,10th,5.87,82,0,0
STU_853747,Adweta Tata,shangeetika@example.net,+917087533462,Male,20,70.7,4.4,0,High,No,10th,8.24,56,1,0
STU_204136,Hemangini Anand,samesh51@example.com,+918892269837,Female,20,39.7,2.6,0,High,No,12th,7.07,79,0,0
STU_500157,Shivani Gaba,schakraborty@example.org,+918395275904,Female,21,95.6,1.1,1,Medium,No,10th,6.79,60,3,0
STU_675448,Dev Oak,samesh91@example.org,+917733124440,Female,19,95.2,5.2,0,High,No,10th,10.0,52,4,0
STU_345660,Noah Viswanathan,sureshlekha@example.net,+916794356041,Female,22,66.4,10.5,1,High,No,10th,6.35,35,3,1
STU_277244,Tamanna Kumer,munivictor@example.com,+918756433379,Female,21,83.5,13.6,1,Medium,No,10th,7.87,26,0,0
STU_206995,Qarin More,bahltanish@example.org,+917653094650,Female,23,87.7,1.5,0,High,No,12th,8.07,81,0,0
STU_630155,Azaan Choudhary,palladitya@example.com,+917337797431,Male,21,81.0,3.0,0,Medium,No,12th,9.16,83,3,0
STU_290932,Harinakshi Bhakta,chaayaghosh@example.org,+917556703036,Female,23,70.8,2.2,0,Medium,No,12th,10.0,76,0,0
STU_840777,Radhika Taneja,dhriti64@example.org,+917028456383,Male,22,64.4,2.3,0,Medium,No,10th,7.49,29,1,0
STU_454529,Advik Sarkar,watika49@example.net,+916115424078,Male,23,80.2,4.5,0,High,No,12th,6.8,40,2,0
STU_940396,Ishaan Rai,somanaarav@example.org,+916357242962,Male,18,85.1,3.8,0,High,No,10th,7.2,23,4,1
STU_959983,Krish Gole,hchatterjee@example.com,+918032756219,Male,22,90.7,13.3,0,Medium,No,12th,9.53,24,4,0
STU_678812,Tanmayi Murty,baralyug@example.org,+917979751086,Male,21,63.2,1.7,0,Medium,No,10th,6.6,85,0,0
STU_418318,Rajata Nagy,qgulati@example.net,+917930805013,Male,21,86.3,9.4,0,High,No,10th,7.09,69,4,0
STU_938023,Hitesh Das,upkaarghose@example.org,+918807266554,Female,18,87.0,5.9,0,Low,No,12th,6.97,53,1,0
STU_280655,Rajeshri Sehgal,maniniharika@example.net,+918395120388,Male,20,86.6,2.7,0,Medium,Yes,10th,7.68,55,4,0
STU_452284,Mitesh Bahri,gayathribhatia@example.com,+916624582466,Male,21,89.0,4.3,2,Low,No,12th,9.77,31,4,1
STU_126033,Henry Halder,warda01@example.com,+918446944534,Female,20,92.4,1.1,0,Medium,No,12th,6.13,30,2,0
STU_807370,Vasana Toor,barkha11@example.net,+916156434100,Male,23,86.1,3.0,0,High,No,10th,7.9,72,1,0
STU_118590,Tanish Kumer,anirudh78@example.com,+916903972649,Male,22,66.5,5.1,0,Medium,No,10th,6.98,82,3,0
STU_488995,Ayushman Solanki,vghosh@example.net,+917782073195,Male,20,71.3,4.4,1,Medium,No,10th,8.24,22,1,1
STU_727574,Nikita Majumdar,isha28@example.com,+917986433862,Female,18,80.8,4.2,0,Low,No,10th,6.65,34,3,0
STU_208377,Charan Loke,lchacko@example.com,+919398369557,Female,22,87.6,1.9,0,Medium,No,12th,9.08,78,4,0
STU_200319,Jagrati Cherian,sprabhakar@example.net,+917052847193,Female,18,83.8,3.2,2,Medium,No,12th,7.64,71,0,1
STU_687027,Jeet Kara,dchandra@example.com,+918884213011,Male,23,93.9,5.0,0,Medium,No,10th,8.54,22,1,1
STU_248541,Unnati Tak,sahnianvi@example.org,+919599887560,Female,19,95.3,9.3,0,Low,No,12th,8.55,77,4,0
STU_592433,Triveni Panchal,dayitaguha@example.org,+918498384167,Female,18,82.7,10.5,1,Medium,No,10th,6.79,44,2,0
STU_759918,Atharv Bath,xavierbatta@example.com,+918678638813,Male,20,90.1,8.7,0,Medium,No,10th,6.66,29,3,0
STU_424053,Ucchal Varma,nicholas37@example.org,+916690868447,Female,22,65.0,2.9,0,High,No,12th,7.88,81,3,0
STU_436150,Kabir Dasgupta,ybali@example.net,+918573892283,Male,19,95.6,2.0,0,Medium,No,10th,10.0,98,1,0
STU_121615,Reyansh Vyas,kataaadi@example.org,+918983395162,Female,18,97.5,2.7,0,Low,Yes,12th,6.26,66,1,1
STU_589072,Samaksh Kapoor,ishaniwason@example.net,+919020667029,Male,18,84.6,6.3,0,Low,No,10th,9.34,65,4,0
STU_324104,Arin Gola,cbarad@example.net,+919414983775,Female,22,47.0,9.1,0,Low,No,12th,7.61,88,4,1
STU_449170,Triya Datta,xavier40@example.org,+916507183904,Male,19,97.0,4.8,0,Medium,No,12th,7.91,70,2,1
STU_278756,Naksh Prakash,nnagy@example.com,+917141459939,Female,22,96.3,1.6,0,Medium,Yes,12th,6.83,22,2,1
STU_196311,Darika Sule,girish21@example.net,+918327203539,Female,21,85.3,2.7,0,High,No,12th,6.85,92,0,0
STU_162904,Chanchal Boase,darpanprashad@example.net,+919836449642,Female,21,81.9,5.5,0,High,No,12th,7.63,45,4,0
STU_639187,Eshana Rai,rachitabahl@example.net,+919300106043,Male,18,77.1,7.2,0,Low,No,12th,8.26,75,0,0
STU_968111,Vedhika Bandi,guneet24@example.net,+916725829412,Female,20,99.5,3.6,0,High,Yes,12th,8.21,60,2,1
STU_719402,Madhav Sama,wram@example.org,+916150771558,Male,18,85.4,2.2,0,High,No,12th,8.51,74,4,0
STU_905171,Vyanjana Om,krishbava@example.com,+917182042149,Female,19,87.6,9.6,0,Medium,Yes,12th,5.85,36,4,0
STU_295938,Hemal Datta,sidhuanay@example.com,+919110350881,Male,18,80.1,3.6,1,Medium,No,12th,6.62,66,4,0
STU_518196,Wahab Misra,jeremiah03@example.com,+917368225761,Female,22,75.2,8.6,0,Medium,Yes,10th,7.36,89,2,0
STU_669151,Rachita Hayre,chaturabose@example.net,+917526846603,Male,18,89.0,3.2,0,High,No,10th,7.33,91,1,0
STU_334921,Daksh Johal,patlayoshita@example.com,+918256893767,Female,19,89.5,5.2,0,Low,No,12th,7.54,37,1,0
STU_141449,Pallavi Kant,memonvansha@example.com,+917895108404,Male,23,85.4,1.8,1,Low,No,12th,4.62,87,2,1
STU_377052,Zinal Sachdeva,ganeshdayamai@example.org,+916134370815,Female,23,80.5,3.7,0,Medium,No,12th,7.97,89,1,0
STU_358556,Caleb Raj,champaknarain@example.org,+916806979826,Male,18,83.8,1.0,0,Low,Yes,10th,6.91,51,3,0
STU_557928,Oviya Dayal,chakrabortywahab@example.net,+918187896195,Male,20,85.8,6.4,0,Medium,No,12th,9.08,65,4,0
STU_203822,Hema Iyengar,nagaradvika@example.org,+919884151376,Female,19,81.1,1.7,0,High,No,12th,9.55,82,3,0
STU_843622,Kamya Palla,pavani96@example.org,+916250839686,Male,19,70.9,3.3,3,High,No,10th,5.84,80,1,1
STU_931393,Eesha Dyal,nadigtara@example.com,+918432363517,Female,22,90.3,3.3,1,Medium,Yes,12th,6.33,46,0,0
STU_945138,Damyanti Rout,lallarushil@example.net,+916463193263,Female,19,97.2,3.0,0,Medium,No,10th,7.7,86,0,1
STU_473431,Karan Choudhury,jhaveridevika@example.org,+918194903682,Male,23,83.8,6.3,0,Low,No,10th,7.82,71,4,0
STU_906410,Warhi Bose,jravel@example.org,+916540546315,Male,20,97.1,5.0,0,High,No,10th,7.27,55,4,1
STU_808563,Nimrat Bedi,shethraksha@example.net,+918379645643,Male,20,90.2,4.5,0,Medium,No,12th,7.32,93,1,0
